id,film1,film2,film3,film4,film5,film6,film7,film8,film9,film10,film11,film12,block,dateTime
1195,5,5,5,5,5,5,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 13:49:46"
1196,5,5,4,4,3,4,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 13:51:44"
1197,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 14:22:52"
1198,5,0,5,0,5,2,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 14:58:29"
1199,5,0,5,0,5,2,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 14:58:40"
1200,5,2,6,2,5,4,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:00:37"
1201,4,0,4,0,6,3,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:06:28"
1202,4,0,4,0,6,3,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:08:46"
1203,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:20:44"
1204,4,0,5,4,0,5,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:22:27"
1205,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:30:07"
1206,5,1,6,4,3,5,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:33:12"
1207,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:33:36"
1208,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:34:09"
1209,0,0,0,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:34:42"
1210,0,0,0,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:36:07"
1211,0,0,0,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:36:35"
1212,0,0,0,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:37:40"
1213,0,0,0,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:38:35"
1214,0,0,0,0,0,4,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:39:51"
1215,6,3,6,4,5,4,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:40:46"
1216,6,3,6,4,5,4,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:42:49"
1217,6,3,6,4,5,4,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:46:08"
1218,6,3,6,4,5,4,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:46:39"
1219,6,3,6,4,5,4,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:47:41"
1220,6,3,6,4,5,4,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:48:03"
1221,6,3,6,4,5,4,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:48:50"
1222,6,3,6,4,5,4,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:49:05"
1223,5,0,0,0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:50:33"
1224,5,0,0,0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:50:54"
1225,5,0,0,0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:55:55"
1226,5,0,0,0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 15:59:52"
1227,5,0,0,0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 16:01:41"
1228,5,0,0,0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 16:02:01"
1229,5,0,0,0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 16:02:28"
1230,5,0,0,0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 16:02:54"
1231,5,0,0,0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 16:03:11"
1232,5,0,0,0,0,3,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 16:03:56"
1233,4,4,4,4,4,4,2,NULL,NULL,NULL,NULL,NULL,wbt,"2024-03-17 16:08:07"
1234,5,5,5,4,4,5,5,NULL,NULL,NULL,NULL,NULL,wbt,"2024-03-17 16:10:07"
1235,4,4,4,2,4,0,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 16:11:54"
1236,4,4,4,2,4,0,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 16:12:11"
1237,4,4,4,2,4,0,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 16:12:26"
1238,4,3,4,4,2,3,NULL,NULL,NULL,NULL,NULL,NULL,wb6,"2024-03-17 16:13:28"
1239,4,3,4,4,2,3,NULL,NULL,NULL,NULL,NULL,NULL,wb6,"2024-03-17 16:13:53"
1240,4,3,4,4,2,3,NULL,NULL,NULL,NULL,NULL,NULL,wb6,"2024-03-17 16:14:01"
1241,4,3,4,4,2,3,NULL,NULL,NULL,NULL,NULL,NULL,wb6,"2024-03-17 16:14:07"
1242,4,0,2,4,2,6,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 16:17:39"
1243,5,5,1,4,3,5,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 19:11:00"
1244,4,4,4,6,6,6,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 19:12:46"
1245,6,3,4,6,2,5,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 19:19:21"
1246,4,5,3,5,6,2,NULL,NULL,NULL,NULL,NULL,NULL,wb1,"2024-03-17 19:27:13"
1247,2,1,4,5,5,3,NULL,NULL,NULL,NULL,NULL,NULL,wb2,"2024-03-18 14:00:11"
