id,film1,film2,film3,film4,film5,film6,film7,film8,film9,film10,film11,film12,block,dateTime
605,3,6,1,4,6,6,,,,,,,wb4,"2023-11-23 23:25:54"
606,6,5,2,6,6,4,,,,,,,wb4,"2023-11-23 23:25:59"
607,6,6,5,5,6,5,,,,,,,wb4,"2023-11-23 23:26:00"
608,5,4,3,4,3,5,,,,,,,wb4,"2023-11-23 23:26:01"
609,3,6,3,4,6,5,,,,,,,wb4,"2023-11-23 23:26:05"
610,4,6,4,5,6,3,,,,,,,wb4,"2023-11-23 23:26:07"
611,2,6,2,6,6,5,,,,,,,wb4,"2023-11-23 23:26:15"
612,3,4,1,4,5,3,,,,,,,wb4,"2023-11-23 23:26:32"
613,5,6,4,4,6,4,,,,,,,wb4,"2023-11-23 23:26:33"
614,6,5,4,2,5,3,,,,,,,wb4,"2023-11-23 23:27:54"
615,2,4,2,2,3,5,,,,,,,wb4,"2023-11-23 23:32:15"
616,3,4,6,1,2,6,,,,,,,wb1,"2023-11-23 23:46:21"
617,2,6,2,6,6,6,,,,,,,wb4,"2023-11-23 23:46:37"
618,5,5,4,3,5,6,,,,,,,wb1,"2023-11-23 23:47:13"
619,3,3,4,3,6,6,,,,,,,wb3,"2023-11-23 23:47:46"
620,4,5,4,6,6,6,,,,,,,wb2,"2023-11-23 23:48:48"
621,5,4,6,5,1,6,,,,,,,wb2,"2023-11-23 23:54:56"
622,3,0,6,5,3,5,,,,,,,wb2,"2023-11-23 23:55:45"
623,6,5,5,3,2,2,,,,,,,wb2,"2023-11-24 00:14:01"
625,4,6,4,4,4,5,,,,,,,wb2,"2023-11-24 00:44:41"
635,6,5,5,6,6,4,,,,,,,wb3,"2023-11-24 06:42:16"
636,1,1,1,6,6,1,,,,,,,wb3,"2023-11-24 06:58:15"
637,3,3,6,4,5,6,,,,,,,wb3,"2023-11-24 07:15:40"
638,5,4,3,4,3,5,,,,,,,wb4,"2023-11-24 07:43:04"
639,5,5,6,4,3,4,,,,,,,wb2,"2023-11-24 07:46:12"
640,4,2,4,2,3,6,,,,,,,wb1,"2023-11-24 08:09:09"
641,4,5,3,3,5,6,,,,,,,wb3,"2023-11-24 08:14:20"
642,6,6,6,4,6,5,,,,,,,wb3,"2023-11-24 08:20:22"
643,4,5,6,5,4,5,6,,,,,,wbt,"2023-11-24 09:07:43"
644,5,5,6,6,4,6,,,,,,,wb2,"2023-11-24 09:41:16"
645,4,5,6,5,4,5,6,,,,,,wbt,"2023-11-24 10:36:05"
646,5,1,3,2,2,6,,,,,,,wb3,"2023-11-24 10:39:54"
648,4,5,6,5,4,5,6,,,,,,wbt,"2023-11-24 11:09:11"
652,0,0,0,0,6,0,,,,,,,wb4,"2023-11-25 11:42:46"
653,0,0,0,0,6,0,,,,,,,wb4,"2023-11-25 11:42:53"
654,5,5,6,6,4,6,,,,,,,wb2,"2023-11-24 11:25:24"
655,0,0,0,0,6,0,,,,,,,wb4,"2023-11-25 11:39:39"
656,0,0,0,0,6,0,,,,,,,wb4,"2023-11-25 11:39:48"
657,0,0,0,0,6,0,,,,,,,wb4,"2023-11-25 11:39:55"
658,5,0,0,0,6,0,,,,,,,wb4,"2023-11-25 11:40:06"
659,0,0,0,0,6,0,,,,,,,wb4,"2023-11-25 11:40:13"
660,3,3,3,3,6,5,,,,,,,wb4,"2023-11-24 11:26:57"
661,1,2,1,2,6,2,,,,,,,wb4,"2023-11-24 11:27:10"
662,3,3,3,3,6,3,,,,,,,wb4,"2023-11-24 11:27:21"
663,3,4,2,5,6,2,,,,,,,wb4,"2023-11-24 11:27:36"
664,0,0,0,0,6,0,,,,,,,wb4,"2023-11-25 11:41:07"
665,0,0,0,0,6,0,,,,,,,wb4,"2023-11-25 11:43:16"
666,3,3,3,3,6,3,,,,,,,wb4,"2023-11-24 11:28:48"
667,6,4,2,3,6,1,,,,,,,wb4,"2023-11-24 11:28:53"
668,0,0,0,0,6,0,,,,,,,wb4,"2023-11-25 11:43:24"
669,3,3,3,3,6,3,,,,,,,wb4,"2023-11-24 11:29:44"
670,1,1,1,1,6,3,,,,,,,wb4,"2023-11-24 11:29:49"
671,0,0,6,1,6,5,,,,,,,wb4,"2023-11-24 11:30:02"
672,0,0,0,0,6,0,,,,,,,wb4,"2023-11-25 11:41:15"
673,3,1,1,1,2,1,,,,,,,wb4,"2023-11-24 11:30:13"
674,4,4,4,4,6,3,,,,,,,wb4,"2023-11-24 11:31:25"
675,0,0,0,0,6,3,,,,,,,wb4,"2023-11-25 11:41:49"
676,1,0,0,0,6,0,,,,,,,wb4,"2023-11-25 11:41:33"
677,4,5,6,6,6,6,,,,,,,wb2,"2023-11-24 11:35:13"
678,0,0,0,6,6,0,,,,,,,wb4,"2023-11-24 11:36:02"
679,0,0,0,0,6,0,,,,,,,wb4,"2023-11-25 11:41:00"
